title,doi,screening_decision,document_status,is_oa,pdf_url,license,local_path,pages,sha256,retrieval_error
Introduction to this special issue: guiding the conversation: new theory and design perspectives for conversational user interfaces,10.1080/07370024.2022.2161905,provisional-include,sem-versao-aberta-localizada,false,,,,,,
User Preference and Categories for Error Responses in Conversational User Interfaces,10.1145/3405755.3406126,provisional-include,acesso-aberto-sem-url-pdf,true,,other-oa,,,,
Conversational User Interfaces and Interactions,10.1109/mprv.2019.2921176,provisional-include,pdf-integral-validado-local,true,https://ieeexplore.ieee.org/ielx7/7756/8794651/08796473.pdf,,library\staging\10.1109-mprv.2019.2921176.pdf,2,204a52e84cf3ced57ad1124a513c6248ba99042af45a2487a5f1c6eaecf276be,
Conversational User Interfaces in Smart Homecare Interactions: A Conversation Analytic Case Study,10.1145/3571884.3597140,provisional-include,acesso-aberto-sem-url-pdf,true,,cc-by,,,,
Who are CUIs Really For? Representation and Accessibility in the Conversational User Interface Literature,10.1145/3571884.3603760,provisional-include,pdf-integral-validado-local,true,https://dl.acm.org/doi/pdf/10.1145/3571884.3603760,arXiv-distribution,library\staging\arxiv\2306.05228v1.pdf,5,dc77a4118b205bc102aaef9c283da590e736be639f9cdb331777740681fcdb53,<HTTPError 403: 'Forbidden'>
Moral Transparency as a Mitigator of Moral Bias in Conversational User Interfaces,10.1145/3571884.3603752,provisional-include,pdf-integral-validado-local,true,https://vbn.aau.dk/ws/files/702151593/3571884.3603752.pdf,other-oa,library\staging\10.1145-3571884.3603752.pdf,7,9b6e4de33c2f5aa052ece55dcae2579a52a5e6dba8b90ffa2753ed29426390f0,
Design Issues for Conversational User Interfaces: Animating and Controlling 3D Faces,10.1007/978-0-306-47002-8_20,provisional-include,pdf-integral-validado-local,true,https://link.springer.com/content/pdf/10.1007/978-0-306-47002-8_20.pdf,,library\staging\openaire\10.1007-978-0-306-47002-8_20-b4226fbb4e.pdf,12,7ed9584d359fac51da27e5faa075f1e57418f45122aad7279be4fb5d76beb855,response-is-not-pdf
Conversational User Interfaces to support Astronauts in Extraterrestrial Habitats,10.1145/3490632.3490673,full-text-review,falha-recuperacao-pdf,true,https://dl.acm.org/doi/pdf/10.1145/3490632.3490673,other-oa,,,,<HTTPError 403: 'Forbidden'>
CUI@IUI: Theoretical and Methodological Challenges in Intelligent Conversational User Interface Interactions,10.1145/3397482.3450706,provisional-include,pdf-integral-validado-local,true,https://pure.tue.nl/ws/files/386756462/3397482.3450706_1_.pdf,other-oa,library\staging\10.1145-3397482.3450706.pdf,4,e792cef3065e8937ff3b2b7a4b0cb83d3ea3606fbfc0fa4ef733662dc8cc5f91,
Time to Get Conversational: Assessment of the Potential of Conversational User Interfaces for Mobile Banking,10.1145/3473856.3473872,provisional-include,sem-versao-aberta-localizada,false,,,,,,
Unifying Recommender Systems and Conversational User Interfaces,10.1145/3543829.3544524,full-text-review,falha-recuperacao-pdf,true,https://dl.acm.org/doi/pdf/10.1145/3543829.3544524,,,,,<HTTPError 403: 'Forbidden'>
Ensuring a Robust Multimodal Conversational User Interface During Maintenance Work,10.1145/3473856.3473871,provisional-include,pdf-integral-validado-local,true,https://publikationen.bibliothek.kit.edu/1000138385/154245988,,library\staging\10.1145-3473856.3473871.pdf,13,d735dbbcc7ac4693bc990d4ae86f49db4f535bf67befc3c747fc700a33637518,
Key Principles Pertinent to User Experience Design for Conversational User Interfaces: A Conceptual Learning Model,10.1007/978-3-031-40113-8_17,provisional-include,sem-versao-aberta-localizada,false,,,,,,
"Seeking Truth, Comfort, and Connection: How Conversational User Interfaces can help Couples with Dementia Manage Reality Disjunction",10.1145/3640794.3665547,provisional-include,acesso-aberto-sem-url-pdf,true,,cc-by,,,,
Domain Specific Design Patterns: Designing For Conversational User Interfaces,10.48550/arxiv.1802.09055,provisional-include,pdf-integral-validado-local,true,https://arxiv.org/pdf/1802.09055,,library\staging\10.48550-arxiv.1802.09055.pdf,7,16449d31c4de3a5b979e30a3d5bbba79e0d3deaac2b2cc1749807ae2894a480d,
Voice User Interface Design,,full-text-review,lacuna-documental,,,,,,,
Voice User Interface Design,10.1007/978-1-4842-4125-7,provisional-include,falha-recuperacao-pdf,true,https://link.springer.com/content/pdf/bfm:978-1-4842-4125-7/1?pdf=chapter%20toc,,,,,response-is-not-pdf
Voice User Interface Design Patterns.,,full-text-review,lacuna-documental,,,,,,,
Systematic Review: Trust-Building Factors and Implications for Conversational Agent Design,10.1080/10447318.2020.1807710,provisional-include,acesso-aberto-sem-url-pdf,true,,cc-by,,,,
"The TRISEC framework for optimizing conversational agent design across search, experience and credence service contexts",10.1108/josm-10-2021-0402,provisional-include,falha-recuperacao-pdf,true,https://www.emerald.com/insight/content/doi/10.1108/JOSM-10-2021-0402/full/pdf?title=the-trisec-framework-for-optimizing-conversational-agent-design-across-search-experience-and-credence-service-contexts,cc-by,,,,<HTTPError 403: 'Forbidden'>
Conversational Agent Design for Algebra Tutoring,10.1109/smc53654.2022.9945524,provisional-include,sem-versao-aberta-localizada,false,,,,,,
Mental health management as a social endeavour: Challenges and opportunities for conversational agent design,10.1016/j.ijhcs.2025.103618,provisional-include,acesso-aberto-sem-url-pdf,true,,cc-by,,,,
AI Conversational Agent Design for Supporting Learning and Well-Being of University Students,10.35542/osf.io/w4rtf,provisional-include,pdf-integral-validado-local,true,https://osf.io/w4rtf/download,,library\staging\10.35542-osf.io-w4rtf.pdf,14,15f2d9e0b733633d128831eac031c6c4b6603d85111163e3612941b4d0d5a5f4,
From Human Pragmatic Language Skills to Conversational Agent Design: A Systematic Review of Transfer Strategies,10.1145/3772318.3792787,provisional-include,acesso-aberto-sem-url-pdf,true,,cc-by,,,,
Designing Conversational Agents to Support Student Teacher Learning in Virtual Reality Simulation: A Case Study,10.1145/3613905.3637145,provisional-include,sem-versao-aberta-localizada,false,,,,,,
"Co-designing conversational agents with older people: A scoping review of methods, challenges, and a way forward",10.1016/j.chbr.2025.100606,provisional-include,acesso-aberto-sem-url-pdf,true,,cc-by-nc,,,,
Designing Conversational Agents for Emotional Self-Awareness,10.1109/aciiw59127.2023.10388072,provisional-include,sem-versao-aberta-localizada,false,,,,,,
Designing Conversational Agents to Facilitate Patient-Physician Communication and Clinical Consultation,10.1145/3613905.3638176,provisional-include,falha-recuperacao-pdf,true,https://dl.acm.org/doi/pdf/10.1145/3613905.3638176,,,,,<HTTPError 403: 'Forbidden'>
Designing Conversational Agents to Support Social Prescribing for Young People,10.14236/ewic/bcshci2025.28,provisional-include,falha-recuperacao-pdf,true,https://www.scienceopen.com/document_file/1b872a29-9cf2-460c-9f63-1f36654fb733/ScienceOpen/292-Cho-BCSHCI25.pdf,cc-by,,,,<HTTPError 403: 'Forbidden'>
Designing Conversational Agents for Older Adults: Effects of Conversational Form and Nonverbal Factors on Mobile Banking Experiences,10.1080/10447318.2025.2491024,provisional-include,sem-versao-aberta-localizada,false,,,,,,
Designing Conversational Agents for Student Wellbeing,10.14569/ijacsa.2024.0151006,provisional-include,pdf-integral-validado-local,true,https://thesai.org/Downloads/Volume15No10/Paper_6-Designing_Conversational_Agents.pdf,cc-by,library\staging\10.14569-ijacsa.2024.0151006.pdf,10,580976034134412b28a0da7a0469fa588b08bf044041276e9a84eff5f9449180,
Designing Conversational Agents to Support Learning from Scientific Graphs,10.24251/hicss.2026.608,provisional-include,acesso-aberto-sem-url-pdf,true,,cc-by-nc-nd,,,,
Designing Conversational Agents in Copilot Studio for Enterprise Automation and Compliance,10.1109/icscds65426.2025.11165793,full-text-review,sem-versao-aberta-localizada,false,,,,,,
From Modeling Multimodal and Multiparty Interactions to Designing Conversational Agents,10.1145/2666242.2666252,provisional-include,sem-versao-aberta-localizada,false,,,,,,
Designing conversational Agents for adaptive instructional support in business simulation gaming,10.1016/j.caeai.2026.100576,provisional-include,acesso-aberto-sem-url-pdf,true,,cc-by-nc-nd,,,,
PhysB: a framework for designing conversational agents to support physical activity in adolescents,10.1186/s41043-026-01254-5,provisional-include,acesso-aberto-sem-url-pdf,true,,cc-by,,,,
Shaping user input: a strategy for natural language dialogue design,10.1016/0953-5438(89)90012-x,provisional-include,sem-versao-aberta-localizada,false,,,,,,
Chatbot Language - crowdsource perceptions and reactions to dialogue systems to inform dialogue design decisions,10.3758/s13428-022-01864-x,provisional-include,pdf-integral-validado-local,true,https://link.springer.com/content/pdf/10.3758/s13428-022-01864-x.pdf,cc-by,library\staging\europe-pmc\PMC9197095.pdf,23,28f438cd4e6714360908f52b80b65b5bf2c8a2931f91c93b2f0be95eb45dd330,response-is-not-pdf
Chatbot Design and Implementation: Towards an Operational Model for Chatbots,10.3390/info15040226,provisional-include,falha-recuperacao-pdf,true,https://www.mdpi.com/2078-2489/15/4/226/pdf?version=1713360983,cc-by,,,,response-is-not-pdf
The feedback loop: A systematic review of how evaluation practices inform conversational agent design,10.21203/rs.3.rs-7235054/v1,provisional-include,pdf-integral-validado-local,true,https://www.researchsquare.com/article/rs-7235054/latest.pdf,cc-by,library\staging\10.21203-rs.3.rs-7235054-v1.pdf,36,c06902356dae9d9471d6129f719bd39a86730add2b0fe249d862a94454ff8c48,
Heuristics Based User Experience Evaluation for Identifying Challenges in IoT Enabled Conversational Agent Design,10.1145/3765766.3765824,full-text-review,acesso-aberto-sem-url-pdf,true,,cc-by-nc-nd,,,,
Gender Bender Bot - The Effect of (Not) Following Gender Stereotypes in Conversational Agent Design,10.55432/978-1-6692-0005-5_12,provisional-include,falha-recuperacao-pdf,true,https://www.okipublishing.com/book/index.php/okip/catalog/download/37/45/268,cc-by-nc-nd,,,,response-is-not-pdf
Enhancing the user experience of learning management systems in higher education: Chatbot design principles,10.4102/the.v11i0.624,provisional-include,pdf-integral-validado-local,true,https://thejournal.org.za/index.php/thejournal/article/download/624/1117,cc-by,library\staging\10.4102-the.v11i0.624.pdf,10,1618dd9f2d70b9efe556b9afa954a4b0bd083d480f93f612b8de910964abeefb,
An Experience Report on User-Centered Chatbot Design through Design Thinking,10.5753/wbots.2025.15205,provisional-include,pdf-integral-validado-local,true,https://sol.sbc.org.br/index.php/wbots/article/download/36926/36712,,library\staging\10.5753-wbots.2025.15205.pdf,10,ea9cdb054ba90c6880d9011cc8de7a6f874493e63b6afc316922189271888f17,
